primer	site	replicate	resolved	fiala_stemminess
NF118Sr2b	RyanCt	1	1	0.106020343158546
NF118Sr2b	RyanCt	2	1	0.116770736462762
NF118Sr2b	RyanCt	3	1	0.109144448711832
NF118Sr2b	RyanCt	4	1	0.115548114625701
NF118Sr2b	RyanCt	5	0	0.11138251278763
NF118Sr2b	RyanCt	6	1	0.103509634760382
NF118Sr2b	RyanCt	7	1	0.109010416564971
NF118Sr2b	RyanCt	8	1	0.110167466781981
NF118Sr2b	RyanCt	9	0	0.104005726807425
NF118Sr2b	RyanCt	10	1	0.113451008724953
NF118Sr2b	RyanCt	11	1	0.111853589497136
NF118Sr2b	RyanCt	12	1	0.112020786705804
NF118Sr2b	RyanCt	13	1	0.0993995253422914
NF118Sr2b	RyanCt	14	1	0.108160663311362
NF118Sr2b	RyanCt	15	1	0.104503105151983
NF118Sr2b	RyanCt	16	0	0.105481899223766
NF118Sr2b	RyanCt	17	1	0.106026290325583
NF118Sr2b	RyanCt	18	1	0.106815425039954
NF118Sr2b	RyanCt	19	1	0.110262566726669
NF118Sr2b	RyanCt	20	1	0.11370896122936
NF118Sr2b	RyanCt	21	0	0.111872519582032
NF118Sr2b	RyanCt	22	0	0.108008002883869
NF118Sr2b	RyanCt	23	1	0.108510030057464
NF118Sr2b	RyanCt	24	1	0.0958976562580071
NF118Sr2b	RyanCt	25	1	0.104970072324111
NF118Sr2b	RyanCt	26	1	0.10375620860043
NF118Sr2b	RyanCt	27	1	0.121245762318855
NF118Sr2b	RyanCt	28	1	0.107368430437806
NF118Sr2b	RyanCt	29	1	0.0943512054878913
NF118Sr2b	RyanCt	30	1	0.102238150563897
NF118Sr2b	RyanCt	31	0	0.10878095632618
NF118Sr2b	RyanCt	32	1	0.103715796206052
NF118Sr2b	RyanCt	33	1	0.101184155984713
NF118Sr2b	RyanCt	34	1	0.107626225427067
NF118Sr2b	RyanCt	35	1	0.110182635473117
NF118Sr2b	RyanCt	36	1	0.119855425667481
NF118Sr2b	RyanCt	37	1	0.108058866298811
NF118Sr2b	RyanCt	38	1	0.108699267636844
NF118Sr2b	RyanCt	39	1	0.101286006831551
NF118Sr2b	RyanCt	40	1	0.0987777315469145
NF118Sr2b	RyanCt	41	0	0.107886859279683
NF118Sr2b	RyanCt	42	1	0.106394708937763
NF118Sr2b	RyanCt	43	1	0.103678514622112
NF118Sr2b	RyanCt	44	0	0.108958392609495
NF118Sr2b	RyanCt	45	1	0.102762266990273
NF118Sr2b	RyanCt	46	0	0.106572224622996
NF118Sr2b	RyanCt	47	1	0.115219202939349
NF118Sr2b	RyanCt	48	1	0.101722611749304
NF118Sr2b	RyanCt	49	1	0.106509677169856
NF118Sr2b	RyanCt	50	1	0.0996128848967952
NF118Sr2b	RyanCt	51	1	0.102027577760329
NF118Sr2b	RyanCt	52	1	0.0917761843356628
NF118Sr2b	RyanCt	53	1	0.1115188812355
NF118Sr2b	RyanCt	54	0	0.111938182734804
NF118Sr2b	RyanCt	55	1	0.111158186627017
NF118Sr2b	RyanCt	56	1	0.103302686475067
NF118Sr2b	RyanCt	57	1	0.106312245463596
NF118Sr2b	RyanCt	58	1	0.115979643962656
NF118Sr2b	RyanCt	59	1	0.0978390915402831
NF118Sr2b	RyanCt	60	1	0.104440770933771
NF118Sr2b	RyanCt	61	1	0.111041001286471
NF118Sr2b	RyanCt	62	1	0.112853990818976
NF118Sr2b	RyanCt	63	1	0.106080114248099
NF118Sr2b	RyanCt	64	1	0.112411413736369
NF118Sr2b	RyanCt	65	1	0.106912855288899
NF118Sr2b	RyanCt	66	1	0.107319811918617
NF118Sr2b	RyanCt	67	1	0.107781822481622
NF118Sr2b	RyanCt	68	1	0.100639359030417
NF118Sr2b	RyanCt	69	1	0.125592982575031
NF118Sr2b	RyanCt	70	1	0.107098119565225
NF118Sr2b	RyanCt	71	1	0.104069671032323
NF118Sr2b	RyanCt	72	0	0.116196799188304
NF118Sr2b	RyanCt	73	1	0.0982759270550843
NF118Sr2b	RyanCt	74	0	0.105128600009542
NF118Sr2b	RyanCt	75	0	0.10801468003408
NF118Sr2b	RyanCt	76	1	0.11015472056474
NF118Sr2b	RyanCt	77	1	0.100513173884013
NF118Sr2b	RyanCt	78	1	0.104846276437518
NF118Sr2b	RyanCt	79	1	0.107197425685582
NF118Sr2b	RyanCt	80	1	0.101816444108374
NF118Sr2b	RyanCt	81	0	0.115977390712513
NF118Sr2b	RyanCt	82	1	0.10798663640756
NF118Sr2b	RyanCt	83	1	0.106330266919881
NF118Sr2b	RyanCt	84	1	0.107127237826668
NF118Sr2b	RyanCt	85	1	0.107430885264556
NF118Sr2b	RyanCt	86	0	0.108351877936675
NF118Sr2b	RyanCt	87	1	0.116321154986951
NF118Sr2b	RyanCt	88	1	0.112865155016651
NF118Sr2b	RyanCt	89	1	0.111469871460432
NF118Sr2b	RyanCt	90	1	0.107905229084355
NF118Sr2b	RyanCt	91	1	0.110500477190725
NF118Sr2b	RyanCt	92	0	0.107044340038657
NF118Sr2b	RyanCt	93	1	0.104728913846858
NF118Sr2b	RyanCt	94	0	0.107706725828542
NF118Sr2b	RyanCt	95	1	0.104260233417605
NF118Sr2b	RyanCt	96	1	0.112294880936188
NF118Sr2b	RyanCt	97	1	0.0960073417524062
NF118Sr2b	RyanCt	98	1	0.104740580684199
NF118Sr2b	RyanCt	99	1	0.114014355383937
NF118Sr2b	RyanCt	100	1	0.107112722740065
